Date,Hacks,Pessimistic/Doubtful,Banks,Selling,Market_manipulation,(De-)centralisation,Angry,ETF,Leverage,Bottom,Institutional_money,FOMO,Prediction,Adoption,Fearful/Concerned,Portfolio,FUD_theme,Whitepaper,Announcements,Technical_analysis,Flippening,Community,Investing/Trading,Euphoric/Excited,Hodling,ICO,Bearish,Going_short,Uncertain,Volume,Risk,Governance,Ban,Cheap,Short_term_trading,Fork,Progress,Shilling,Bullish,Happy,Bubble,Bots,Hopeful,Bug,Open_source,Token_economics,Security,Marketing,Bad_news,Due_diligence,Team,Partnerships,Pump_and_dump,Sad,Panicking,Listing,Regulation/Politics,Dip,Launch,FOMO_theme,Advice/Support,Rebranding,Wallet,Good_news,Problems_and_issues,Mining,Waiting,Learning,Scaling,Fees,Roadmap,Recovery,Technology,Mistrustful,Marketcap,Positive,Tax,Long_term_investing,Strategy,Competition,Whales,Correction,Stablecoin,Buying,Warning,Annoyed/Frustrated,Price,Use_case/Applications,Rumor,Scam/Fraud,Airdrop,Optimistic,Negative,scores
2018-04-03,2.0,8.0,8.0,22.0,2.0,23.0,7.0,0.0,3.0,12.0,2.0,6.0,92.0,93.0,4.0,6.0,3.0,3.0,12.0,77.0,2.0,37.0,139.0,40.0,6.0,50.0,16.0,8.0,34.0,5.0,7.0,0.0,8.0,2.0,26.0,30.0,26.0,0.0,72.0,7.0,2.0,1.0,7.0,1.0,1.0,4.0,10.0,2.0,57.0,69.0,64.0,9.0,0.0,0.0,1.0,11.0,9.0,4.0,9.0,2.0,95.0,1.0,11.0,143.0,15.0,155.0,1.0,21.0,4.0,15.0,3.0,4.0,298.0,0.0,6.0,159.0,2.0,131.0,3.0,99.0,2.0,0.0,3.0,37.0,4.0,0.0,292.0,46.0,3.0,40.0,18.0,36.0,119.0,-0.4588
2018-04-04,1.0,2.0,18.0,31.0,2.0,16.0,2.0,0.0,2.0,1.0,2.0,7.0,78.0,86.0,2.0,7.0,2.0,5.0,11.0,56.0,2.0,20.0,138.0,23.0,8.0,50.0,13.0,7.0,34.0,6.0,5.0,0.0,18.0,1.0,18.0,11.0,16.0,2.0,55.0,4.0,0.0,2.0,4.0,4.0,3.0,11.0,7.0,1.0,59.0,61.0,51.0,3.0,2.0,0.0,1.0,12.0,13.0,2.0,4.0,1.0,69.0,1.0,5.0,150.0,12.0,145.0,8.0,14.0,5.0,26.0,5.0,1.0,295.0,0.0,5.0,116.0,0.0,120.0,2.0,104.0,0.0,1.0,1.0,30.0,0.0,0.0,243.0,37.0,0.0,36.0,33.0,22.0,82.0,0.0
2018-04-05,2.0,8.0,9.0,26.0,1.0,20.0,4.0,0.0,1.0,5.0,1.0,9.0,74.0,88.0,4.0,9.0,5.0,4.0,12.0,52.0,1.0,20.0,133.0,26.0,10.0,65.0,21.0,9.0,31.0,11.0,5.0,0.0,9.0,3.0,21.0,15.0,23.0,1.0,41.0,8.0,0.0,1.0,3.0,0.0,0.0,8.0,28.0,1.0,51.0,83.0,43.0,5.0,0.0,3.0,2.0,11.0,19.0,5.0,10.0,3.0,75.0,0.0,19.0,165.0,5.0,120.0,5.0,10.0,14.0,7.0,1.0,1.0,300.0,0.0,5.0,110.0,3.0,135.0,1.0,108.0,3.0,2.0,0.0,29.0,4.0,0.0,256.0,43.0,2.0,22.0,48.0,27.0,96.0,-0.3096333333333333
2018-04-06,2.0,3.0,8.0,18.0,1.0,23.0,3.0,1.0,0.0,3.0,3.0,8.0,55.0,80.0,3.0,7.0,3.0,6.0,3.0,25.0,1.0,12.0,73.0,28.0,7.0,32.0,15.0,1.0,32.0,2.0,3.0,0.0,9.0,1.0,8.0,30.0,16.0,1.0,34.0,3.0,1.0,1.0,5.0,0.0,3.0,6.0,14.0,3.0,39.0,62.0,51.0,7.0,0.0,0.0,2.0,11.0,9.0,2.0,7.0,2.0,79.0,0.0,7.0,117.0,9.0,114.0,4.0,14.0,0.0,4.0,1.0,0.0,227.0,1.0,1.0,92.0,1.0,110.0,3.0,94.0,0.0,1.0,0.0,10.0,0.0,0.0,184.0,28.0,1.0,16.0,38.0,18.0,77.0,-0.007550000000000001
2018-04-07,1.0,3.0,10.0,18.0,0.0,8.0,3.0,0.0,1.0,2.0,1.0,7.0,35.0,49.0,5.0,4.0,3.0,4.0,3.0,29.0,0.0,11.0,66.0,20.0,5.0,38.0,8.0,1.0,21.0,4.0,2.0,0.0,10.0,2.0,9.0,15.0,17.0,1.0,21.0,6.0,3.0,0.0,4.0,0.0,0.0,6.0,2.0,3.0,26.0,41.0,27.0,0.0,0.0,0.0,0.0,21.0,20.0,1.0,4.0,3.0,51.0,0.0,11.0,98.0,4.0,86.0,5.0,11.0,5.0,2.0,4.0,1.0,179.0,0.0,1.0,67.0,0.0,78.0,2.0,68.0,1.0,1.0,1.0,16.0,2.0,0.0,140.0,29.0,1.0,10.0,11.0,14.0,59.0,-0.401
2018-04-08,0.0,3.0,6.0,7.0,1.0,14.0,0.0,0.0,0.0,4.0,1.0,4.0,47.0,53.0,5.0,7.0,1.0,2.0,5.0,31.0,1.0,14.0,73.0,30.0,5.0,47.0,16.0,3.0,11.0,6.0,3.0,0.0,7.0,1.0,16.0,15.0,13.0,0.0,31.0,3.0,2.0,0.0,2.0,0.0,3.0,4.0,4.0,2.0,24.0,44.0,17.0,5.0,0.0,1.0,0.0,4.0,15.0,2.0,7.0,0.0,65.0,0.0,12.0,108.0,14.0,85.0,4.0,4.0,6.0,0.0,0.0,5.0,169.0,1.0,1.0,91.0,3.0,61.0,2.0,63.0,0.0,2.0,3.0,17.0,5.0,0.0,139.0,33.0,0.0,16.0,17.0,18.0,79.0,-0.296
2018-04-09,3.0,3.0,3.0,27.0,1.0,18.0,5.0,0.0,2.0,8.0,1.0,10.0,89.0,70.0,7.0,9.0,2.0,2.0,5.0,59.0,1.0,20.0,145.0,29.0,9.0,46.0,14.0,7.0,31.0,9.0,9.0,0.0,3.0,2.0,16.0,26.0,19.0,3.0,65.0,6.0,1.0,2.0,12.0,3.0,4.0,5.0,9.0,1.0,36.0,55.0,48.0,4.0,0.0,1.0,1.0,18.0,13.0,8.0,3.0,1.0,114.0,1.0,10.0,116.0,12.0,106.0,4.0,11.0,4.0,2.0,0.0,1.0,252.0,1.0,4.0,139.0,2.0,102.0,1.0,67.0,2.0,0.0,0.0,34.0,3.0,1.0,248.0,43.0,1.0,13.0,16.0,30.0,118.0,0.15333333333333335
2018-04-10,2.0,5.0,1.0,27.0,2.0,30.0,4.0,0.0,4.0,5.0,1.0,6.0,64.0,77.0,8.0,10.0,4.0,3.0,6.0,70.0,2.0,16.0,134.0,31.0,3.0,37.0,27.0,6.0,23.0,8.0,3.0,0.0,1.0,3.0,19.0,16.0,29.0,3.0,45.0,6.0,0.0,3.0,6.0,3.0,4.0,4.0,22.0,2.0,50.0,63.0,31.0,7.0,0.0,0.0,1.0,10.0,28.0,2.0,12.0,2.0,102.0,0.0,8.0,148.0,9.0,106.0,8.0,16.0,5.0,5.0,1.0,6.0,271.0,0.0,3.0,143.0,1.0,106.0,1.0,93.0,0.0,1.0,0.0,41.0,6.0,1.0,213.0,52.0,2.0,21.0,15.0,32.0,109.0,0.20095
2018-04-11,2.0,1.0,7.0,27.0,0.0,15.0,6.0,0.0,1.0,2.0,4.0,10.0,75.0,89.0,5.0,3.0,0.0,4.0,12.0,64.0,1.0,9.0,117.0,31.0,5.0,46.0,16.0,3.0,32.0,4.0,2.0,0.0,7.0,3.0,24.0,4.0,34.0,4.0,57.0,9.0,4.0,10.0,5.0,1.0,3.0,9.0,10.0,2.0,34.0,60.0,25.0,11.0,0.0,1.0,0.0,9.0,22.0,1.0,18.0,4.0,101.0,1.0,9.0,146.0,18.0,105.0,7.0,14.0,4.0,0.0,2.0,2.0,277.0,3.0,4.0,135.0,0.0,106.0,3.0,93.0,0.0,1.0,1.0,20.0,7.0,0.0,225.0,71.0,4.0,14.0,30.0,27.0,93.0,-0.08223333333333332
2018-04-12,0.0,11.0,5.0,35.0,1.0,12.0,9.0,0.0,3.0,9.0,1.0,10.0,83.0,90.0,4.0,12.0,1.0,7.0,11.0,60.0,1.0,13.0,129.0,42.0,3.0,39.0,13.0,1.0,30.0,6.0,3.0,0.0,5.0,0.0,20.0,7.0,37.0,0.0,59.0,5.0,1.0,11.0,12.0,0.0,1.0,12.0,10.0,2.0,42.0,69.0,23.0,6.0,0.0,0.0,2.0,14.0,5.0,1.0,11.0,2.0,126.0,0.0,15.0,150.0,21.0,104.0,3.0,12.0,11.0,6.0,3.0,3.0,243.0,0.0,6.0,141.0,2.0,110.0,3.0,88.0,0.0,1.0,5.0,34.0,6.0,0.0,231.0,46.0,0.0,22.0,52.0,40.0,103.0,0.21273333333333333
